,:
s1002,Movie,Blue Ruin,Jeremy Saulnier,^Macon Blair, Devin Ratray, Amy Hargreaves, Kevin Kolack, Eve Plumb, David W. Thompson, Brent Werzner, Stacy Rock, Sidné Anderson, Sandy Barnett, Bonnie Johnson^,^United States, France^,^February 25, 2019^,2013,R,90 min,^Independent Movies, Thrillers^,^Bad news from the past unhinges vagabond Dwight Evans, sending him on a mission of bloody retribution that takes him to his childhood hometown.^
s106,Movie,300 Miles to Heaven,Maciej Dejczer,^Krzysztof Stroiński, Andrzej Mellin, Adrianna Biedrzyńska, Adrianna Biedrzyńska, Rafał Zimowski, Kama Kowalewska, Wiesław Komasa, Aleksander Bednarz, Jadwiga Jankowska-Cieslak, Wojciech Klata^,^Denmark, France, Poland^,^October 1, 2019^,1989,TV-14,93 min,^Dramas, International Movies^,^Hoping to help their dissident parents, two brothers sneak out of Poland and land as refugees in Denmark, where they are prevented from returning home.^
s1080,TV Show,Brave Miss World,Cecilia Peck,Linor Abargil,^United States, Israel, Italy, South Africa^,^February 17, 2018^,2013,TV-14,1 Season,^Crime TV Shows, Docuseries^,^Weeks before being named Miss World, Linor Abargil was raped. She tells the world her inspiring true story in this Emmy-nominated documentary.^
s1019,TV Show,Bobby Kennedy for President,Dawn Porter,Robert F. Kennedy,,^April 27, 2018^,2018,TV-MA,1 Season,Docuseries,^Historic footage and leading voices of the era examine the ^^Bobby Phenomenon^^ of the 1960s and the legacy of the man who helped redefine the country.^
s104,Movie,30 Days of Luxury,Hani Hamdi,^Taher Farouz, Sad Al-Saghir, Ahmad Faloks, Soleiman Eid, Mahmood El-Laithi, Hesham Ismail, Shaima Saif, Nermin Maher, Sofinar^,Egypt,^April 18, 2019^,2016,TV-14,91 min,^Comedies, International Movies^,^With the help of his friends, a man breaks out of prison in hopes of restoring a lively nightclub.^
s1043,TV Show,Bonus Family,,^Vera Vitali, Erik Johansson, Fredrik Hallgren, Petra Mede, Frank Dorsin, Jacob Lundqvist, Amanda Lindh, Marianne Mörck, Barbro Svensson, Ann Petrén, Johan Ulveson, Leo Razzak, Felix Engström^,Sweden,^July 12, 2019^,2019,TV-MA,3 Seasons,^International TV Shows, TV Dramas^,^A new couple, their exes and their children navigate the emotional challenges and tricky logistics of blended family life in this Swedish dramedy.^
